8HA;Hommes  plus de 18 ans;;;H;1900;2007;;;True;False;;
8DA;Dames plus de 18 ans;;;D;1900;2007;;;True;False;;
8HJ;Hommes 18 ans et plus jeune;;;H;2008;2020;;;True;False;;
8DJ;Dames 18 ans et plus jeune;;;D;2008;2020;;;True;False;;
