Pop up Run2025 
Popette 2
EB2F Popette 2 2016 - 2017
pos;N°;Equipe;;Temps;Ecart
1;619;;;;;;;;03:05.58;00:00.00
2;620;;;;;;;;03:06.30;00:00.72
3;608;;;;;;;;03:06.84;00:01.26
4;649;;;;;;;;03:16.95;00:11.37
5;613;;;;;;;;03:30.99;00:25.41
6;611;;;;;;;;03:33.54;00:27.96
7;645;;;;;;;;03:45.09;00:39.51
8;617;;;;;;;;03:48.09;00:42.51
9;624;;;;;;;;04:01.74;00:56.16
10;476;;;;;;;;04:04.17;00:58.59
11;604;;;;;;;;04:16.35;01:10.77
12;430;;;;;;;;04:21.21;01:15.63
13;606;BADABOOM;;;;;;;04:22.74;01:17.16
14;628;;;;;;;;04:25.95;01:20.37
15;605;;;;;;;;04:26.28;01:20.70
16;610;;;;;;;;04:30.48;01:24.90
17;609;;;;;;;;04:35.22;01:29.64
18;612;;;;;;;;04:35.43;01:29.85
19;602;;;;;;;;05:13.32;02:07.74
20;641;;;;;;;;05:49.74;02:44.16
21;643;;;;;;;;05:49.86;02:44.28
22;603;;;;;;;;06:43.95;03:38.37
