Pop up Run2025 
CM1G Megapop 2010 - 2011
pos;N°;Equipe;;Temps;Ecart
1;519;;;;;;;;17:50.47;00:00.00
2;518;;;;;;;;18:28.78;00:38.31
3;517;;;;;;;;20:10.15;02:19.68
4;415;MOJU HC MOUTIER ;;;;;;;20:13.45;02:22.98
