Equipes
pos;Nom équipe;Temps
1;TEAM LA VALLÉE 2;01:37:35.31
;Fleury Théo;31:07.34
;Crausaz Célien;32:10.73
;Keller Grégoire;34:17.24
;Crausaz Morgane;35:41.72
;Eschmann Olivier;40:05.72
2;GOFASTA;01:41:23.52
;Jacquat Yanis;32:01.19
;Cagnon Bryan;33:43.13
;Vallat Artiom;35:39.20
;Arnaboldi  Nathan ;38:12.68
;Pretalli Loris;41:15.74
;Pretalli Florian;43:59.30
3;TEAM LA VALLÉE 1;01:43:14.19
;Beuret Philippe;30:33.11
;Caroli Alizée;36:13.61
;Joray Antoine;36:27.47
;Crausaz Jérémie;39:22.07
4;CSS TEAM JURA ;01:58:33.12
;Tico Luka;38:36.02
;Menozzi Marc;39:45.80
;De luca Mirco;40:11.30
;Ferrara Agostino;40:30.62
;Cecconi  Leonardo ;41:06.50
5;TEAM UHC AJOIE;02:04:37.14
;Frund Aurélien ;37:58.19
;Heusler Raphaël;40:41.69
;Choffat Kevin;45:57.26
;Bregnard  Charles ;48:17.39
6;GLO-C TEAM;02:20:34.05
;Bandelier Cloé;42:59.09
;Buchwalder Anne-Laure;45:43.28
;Florentin Manon;51:51.68
;Lovis Cécile;53:00.47
;Allemann Marisa ;53:00.50
;Lovis Marion;57:39.38
;Bader Zaklina;59:27.74
