Pop up Run2025 
Pop 1
EB1G Pop 1 2018 - 2019
pos;N°;Equipe;;Temps;Ecart
1;334;;;;;;;;03:12.07;00:00.00
2;344;;;;;;;;03:14.05;00:01.98
3;336;;;;;;;;03:21.13;00:09.06
4;335;;;;;;;;03:26.77;00:14.70
5;634;;;;;;;;03:38.32;00:26.25
6;485;;;;;;;;03:39.25;00:27.18
7;310;;;;;;;;03:51.16;00:39.09
8;311;;;;;;;;04:26.95;01:14.88
9;475;;;;;;;;04:29.59;01:17.52
10;647;;;;;;;;04:29.68;01:17.61
11;312;;;;;;;;04:30.85;01:18.78
12;479;;;;;;;;04:31.72;01:19.65
13;309;Gymnasport Sorvilier;;;;;;;04:32.02;01:19.95
14;308;;;;;;;;04:37.93;01:25.86
15;632;;;;;;;;04:39.04;01:26.97
16;480;;;;;;;;04:45.46;01:33.39
17;478;;;;;;;;04:53.33;01:41.26
18;650;;;;;;;;04:55.60;01:43.53
19;625;;;;;;;;05:36.25;02:24.18
